AHNS STATE MESSAGES LOG FOR logs/Filtered_States_Friday-15-10-2010-141305.log
TIME, F_PHI, F_PHI_DOT, F_THETA, F_THETA_DOT, F_PSI, F_PSI_DOT, F_X, F_X_DOT, F_AX, F_Y, F_Y_DOT, F_AY, F_Z, F_Z_DOT, F_AZ, VOLTAGE
394.791,0,0,0,0,5.16618,0,0,0,0,0,0,0,0.627328,-0.785169,0,11.163
394.802,0,0,0,0,5.16757,0,0,0,0,0,0,0,0.627328,0,0,11.163
394.813,0,0,0,0,5.16893,0,0,0,0,0,0,0,0.627328,0,0,11.163
394.824,0,0,0,0,5.17025,0,0,0,0,0,0,0,0.627328,0,0,11.163
394.835,0,0,0,0,5.17201,0,0,0,0,0,0,0,0.635495,0.725248,0,11.218
394.847,0,0,0,0,5.17374,0,0,0,0,0,0,0,0.635495,-1.6548e-13,0,11.218
394.858,0,0,0,0,5.17543,0,0,0,0,0,0,0,0.635495,-1.01334e-14,0,11.218
394.869,0,0,0,0,5.17707,0,0,0,0,0,0,0,0.635495,0,0,11.218
394.88,0,0,0,0,5.17909,0,0,0,0,0,0,0,0.639311,0.340648,0,11.193
394.892,0,0,0,0,5.17909,0,0,0,0,0,0,0,0.639311,0,0,11.193
394.902,0,0,0,0,5.1811,0,0,0,0,0,0,0,0.639311,0,0,11.193
394.913,0,0,0,0,5.18308,0,0,0,0,0,0,0,0.639989,0.0629584,0,11.084
394.924,0,0,0,0,5.18468,0,0,0,0,0,0,0,0.63873,-0.110334,0,11.087
394.934,0,0,0,0,5.186,0,0,0,0,0,0,0,0.63873,-9.75329e-15,0,11.087
394.945,0,0,0,0,5.18726,0,0,0,0,0,0,0,0.63873,-1.01048e-14,0,11.087
394.956,0,0,0,0,5.18849,0,0,0,0,0,0,0,0.636649,0,0,11.054
394.966,0,0,0,0,5.19023,0,0,0,0,0,0,0,0.627153,-0.881393,0,11.087
394.977,0,0,0,0,5.19237,0,0,0,0,0,0,0,0.627153,0,0,11.087
394.988,0,0,0,0,5.19448,0,0,0,0,0,0,0,0.627153,0,0,11.087
394.999,0,0,0,0,5.19658,0,0,0,0,0,0,0,0.620213,-0.644274,0,11.15
395.009,0,0,0,0,5.19961,0,0,0,0,0,0,0,0.620213,0,0,11.15
395.02,0,0,0,0,5.20257,0,0,0,0,0,0,0,0.620213,0,0,11.15
395.031,0,0,0,0,5.20548,0,0,0,0,0,0,0,0.620213,0,0,11.15
395.042,0,0,0,0,5.20837,0,0,0,0,0,0,0,0.637348,1.51746,0,11.204
395.052,0,0,0,0,5.21209,0,0,0,0,0,0,0,0.637348,0,0,11.204
395.063,0,0,0,0,5.21573,0,0,0,0,0,0,0,0.637348,0,0,11.204
395.074,0,0,0,0,5.21931,0,0,0,0,0,0,0,0.635363,-0.181636,0,11.177
395.084,0,0,0,0,5.22342,0,0,0,0,0,0,0,0.635363,-1.02476e-14,0,11.177
395.095,0,0,0,0,5.22746,0,0,0,0,0,0,0,0.635408,0.00405666,0,11.163
395.106,0,0,0,0,5.23201,0,0,0,0,0,0,0,0.635408,0,0,11.163
395.116,0,0,0,0,5.23646,0,0,0,0,0,0,0,0.635408,0,0,11.163
395.127,0,0,0,0,5.24087,0,0,0,0,0,0,0,0.635408,0,0,11.163
395.138,0,0,0,0,5.24517,0,0,0,0,0,0,0,0.635408,0,0,11.163
395.149,0,0,0,0,5.2494,0,0,0,0,0,0,0,0.641119,0.522739,0,11.191
395.159,0,0,0,0,5.25391,0,0,0,0,0,0,0,0.651121,0.900407,0,11.193
395.17,0,0,0,0,5.25866,0,0,0,0,0,0,0,0.658533,0.670916,0,11.223
395.181,0,0,0,0,5.26359,0,0,0,0,0,0,0,0.658533,-1.02181e-14,0,11.223
395.191,0,0,0,0,5.26843,0,0,0,0,0,0,0,0.658533,-1.02487e-14,0,11.223
395.202,0,0,0,0,5.27319,0,0,0,0,0,0,0,0.658533,-1.01334e-14,0,11.223
