AHNS AP STATE MESSAGES LOG FOR logs/AP_State_Friday-15-10-2010-142953.log
TIME, REF_PHI, REF_THETA, REF_PSI, REF_X, REF_Y, REF_Z, PHI_ACTIVE, THETA_ACTIVE, PSI_ACTIVE, X_ACTIVE, Y_ACTIVE, Z_ACTIVE
1.94992,0,0,-32,0,0,0,0,0,0,0,0,0
1.96121,0,0,-32,0,0,0,0,0,0,0,0,0
1.97211,0,0,-32,0,0,0,0,0,0,0,0,0
1.98279,0,0,-32,0,0,0,0,0,0,0,0,0
1.99383,0,0,-32,0,0,0,0,0,0,0,0,0
2.00473,0,0,-32,0,0,0,0,0,0,0,0,0
2.01544,0,0,-32,0,0,0,0,0,0,0,0,0
2.02634,0,0,-32,0,0,0,0,0,0,0,0,0
2.03717,0,0,-32,0,0,0,0,0,0,0,0,0
2.04816,0,0,-32,0,0,0,0,0,0,0,0,0
2.05917,0,0,-32,0,0,0,0,0,0,0,0,0
2.06992,0,0,-32,0,0,0,0,0,0,0,0,0
2.08096,0,0,-32,0,0,0,0,0,0,0,0,0
2.09161,0,0,-32,0,0,0,0,0,0,0,0,0
2.10236,0,0,-32,0,0,0,0,0,0,0,0,0
2.11322,0,0,-32,0,0,0,0,0,0,0,0,0
2.1239,0,0,-32,0,0,0,0,0,0,0,0,0
2.13489,0,0,-32,0,0,0,0,0,0,0,0,0
2.14581,0,0,-32,0,0,0,0,0,0,0,0,0
2.15671,0,0,-32,0,0,0,0,0,0,0,0,0
2.16757,0,0,-32,0,0,0,0,0,0,0,0,0
2.17908,0,0,-32,0,0,0,0,0,0,0,0,0
2.19,0,0,-16,0,0,0,0,0,0,0,0,0
2.2009,0,0,-16,0,0,0,0,0,0,0,0,0
2.21179,0,0,-32,0,0,0,0,0,0,0,0,0
2.22272,0,0,-32,0,0,0,0,0,0,0,0,0
2.23352,0,0,-16,0,0,0,0,0,0,0,0,0
2.24423,0,0,-16,0,0,0,0,0,0,0,0,0
2.25549,0,0,-16,0,0,0,0,0,0,0,0,0
2.26626,0,0,-16,0,0,0,0,0,0,0,0,0
2.27777,0,0,-32,0,0,0,0,0,0,0,0,0
2.28924,0,0,-32,0,0,0,0,0,0,0,0,0
2.30008,0,0,-32,0,0,0,0,0,0,0,0,0
2.31091,0,0,-32,0,0,0,0,0,0,0,0,0
2.32236,0,0,-32,0,0,0,0,0,0,0,0,0
2.33346,0,0,-32,0,0,0,0,0,0,0,0,0
2.34421,0,0,-32,0,0,0,0,0,0,0,0,0
2.35501,0,0,-32,0,0,0,0,0,0,0,0,0
2.3656,0,0,-32,0,0,0,0,0,0,0,0,0
2.37631,0,0,-32,0,0,0,0,0,0,0,0,0
2.38718,0,0,-32,0,0,0,0,0,0,0,0,0
2.39786,0,0,-32,0,0,0,0,0,0,0,0,0
