AHNS STATE MESSAGES LOG FOR logs/Filtered_States_Friday-01-10-2010-163330.log
TIME, F_PHI, F_PHI_DOT, F_THETA, F_THETA_DOT, F_PSI, F_PSI_DOT, F_X, F_X_DOT, F_AX, F_Y, F_Y_DOT, F_AY, F_Z, F_Z_DOT, F_AZ, VOLTAGE
289.778,0,0,0,0,4.56603,0,0,0,0,0,0,0,0,0,0,10.906
289.79,0,0,0,0,4.56533,0,0,0,0,0,0,0,0,0,0,10.939
289.802,0,0,0,0,4.56479,0,0,0,0,0,0,0,0,0,0,10.912
289.814,0,0,0,0,4.56439,0,0,0,0,0,0,0,0,0,0,10.956
289.825,0,0,0,0,4.56415,0,0,0,0,0,0,0,0,0,0,10.936
289.837,0,0,0,0,4.56401,0,0,0,0,0,0,0,0,0,0,10.926
289.849,0,0,0,0,4.56423,0,0,0,0,0,0,0,0,0,0,10.915
289.861,0,0,0,0,4.56469,0,0,0,0,0,0,0,0,0,0,10.972
289.873,0,0,0,0,4.5662,0,0,0,0,0,0,0,0,0,0,11.043
289.885,0,0,0,0,4.56714,0,0,0,0,0,0,0,0,0,0,11.076
289.898,0,0,0,0,4.56809,0,0,0,0,0,0,0,0,0,0,11.076
289.909,0,0,0,0,4.56901,0,0,0,0,0,0,0,0,0,0,11.182
289.922,0,0,0,0,4.57005,0,0,0,0,0,0,0,0,0,0,11.155
289.933,0,0,0,0,4.57118,0,0,0,0,0,0,0,0,0,0,11.18
289.946,0,0,0,0,4.57234,0,0,0,0,0,0,0,0,0,0,11.155
289.958,0,0,0,0,4.57351,0,0,0,0,0,0,0,0,0,0,11.172
289.969,0,0,0,0,4.57445,0,0,0,0,0,0,0,0,0,0,11.202
289.981,0,0,0,0,4.57522,0,0,0,0,0,0,0,0,0,0,11.202
289.993,0,0,0,0,4.57595,0,0,0,0,0,0,0,0,0,0,11.172
290.005,0,0,0,0,4.57653,0,0,0,0,0,0,0,0,0,0,11.141
290.017,0,0,0,0,4.57723,0,0,0,0,0,0,0,0,0,0,11.111
290.029,0,0,0,0,4.57751,0,0,0,0,0,0,0,0,0,0,11.111
290.041,0,0,0,0,4.57779,0,0,0,0,0,0,0,0,0,0,11.111
290.052,0,0,0,0,4.57807,0,0,0,0,0,0,0,0,0,0,11.111
290.064,0,0,0,0,4.57834,0,0,0,0,0,0,0,0,0,0,11.111
290.076,0,0,0,0,4.57862,0,0,0,0,0,0,0,0,0,0,11.111
290.087,0,0,0,0,4.57889,0,0,0,0,0,0,0,0,0,0,11.111
290.099,0,0,0,0,4.57917,0,0,0,0,0,0,0,0,0,0,11.111
290.111,0,0,0,0,4.57944,0,0,0,0,0,0,0,0,0,0,11.111
290.122,0,0,0,0,4.57972,0,0,0,0,0,0,0,0,0,0,11.111
290.134,0,0,0,0,4.57997,0,0,0,0,0,0,0,0,0,0,11.111
290.146,0,0,0,0,4.58024,0,0,0,0,0,0,0,0,0,0,11.111
290.157,0,0,0,0,4.58051,0,0,0,0,0,0,0,0,0,0,11.111
290.169,0,0,0,0,4.58078,0,0,0,0,0,0,0,0,0,0,11.111
290.181,0,0,0,0,4.5813,0,0,0,0,0,0,0,0,0,0,11.111
290.193,0,0,0,0,4.58156,0,0,0,0,0,0,0,0,0,0,11.111
290.205,0,0,0,0,4.58182,0,0,0,0,0,0,0,0,0,0,11.111
290.217,0,0,0,0,4.58208,0,0,0,0,0,0,0,0,0,0,11.084
290.228,0,0,0,0,4.58204,0,0,0,0,0,0,0,0,0,0,11.084
290.24,0,0,0,0,4.58201,0,0,0,0,0,0,0,0,0,0,11.084
290.252,0,0,0,0,4.58197,0,0,0,0,0,0,0,0,0,0,11.084
290.263,0,0,0,0,4.58194,0,0,0,0,0,0,0,0,0,0,11.084
290.275,0,0,0,0,4.58192,0,0,0,0,0,0,0,0,0,0,11.141
290.287,0,0,0,0,4.58163,0,0,0,0,0,0,0,0,0,0,11.144
290.298,0,0,0,0,4.58107,0,0,0,0,0,0,0,0,0,0,11.114
290.31,0,0,0,0,4.58027,0,0,0,0,0,0,0,0,0,0,11.068
290.322,0,0,0,0,4.57931,0,0,0,0,0,0,0,0,0,0,11.109
290.333,0,0,0,0,4.5782,0,0,0,0,0,0,0,0,0,0,11.109
290.345,0,0,0,0,4.57698,0,0,0,0,0,0,0,0,0,0,11.051
290.356,0,0,0,0,4.57569,0,0,0,0,0,0,0,0,0,0,11.07
290.369,0,0,0,0,4.57294,0,0,0,0,0,0,0,0,0,0,11.1
290.381,0,0,0,0,4.57141,0,0,0,0,0,0,0,0,0,0,11.1
290.392,0,0,0,0,4.5699,0,0,0,0,0,0,0,0,0,0,11.1
290.404,0,0,0,0,4.56842,0,0,0,0,0,0,0,0,0,0,11.1
290.416,0,0,0,0,4.56696,0,0,0,0,0,0,0,0,0,0,11.1
290.428,0,0,0,0,4.5655,0,0,0,0,0,0,0,0,0,0,11.1
