AHNS STATE MESSAGES LOG FOR logs/Filtered_States_Wednesday-06-10-2010-071053.log
TIME, F_PHI, F_PHI_DOT, F_THETA, F_THETA_DOT, F_PSI, F_PSI_DOT, F_X, F_X_DOT, F_AX, F_Y, F_Y_DOT, F_AY, F_Z, F_Z_DOT, F_AZ, VOLTAGE
3.12732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.13794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.14896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.15976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.17059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.18143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.19208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.20291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.21378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.22464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.23529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.25616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.27704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.28787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.29874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.30966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.3205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.33133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.34213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.35294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.36468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.37555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.38638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.39716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.40869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.41943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.43002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.44064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.46378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.47421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.48465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.49512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.50595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.51675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.52768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.54919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.55963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.58063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.59109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.60153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.61218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.62302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.63388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.64474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.66605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.67746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.68811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.69888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.70975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.72064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.73144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.74228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.75305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.76367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.77447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.78525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.79571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.80603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.81671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.82788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.83914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.85025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.86087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.87207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.88296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.89371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.90454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.91537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.92685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.93771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.94852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.95914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
