AHNS FC STATE MESSAGES LOG FOR logs/FC_States_Wednesday-06-10-2010-071053.log
TIME, COMMANDED_ENGINE1, COMMANDED_ENGINE2, COMMANDED_ENGINE3, COMMANDED_ENGINE4, RC_LINK, FC_UPTIME, FC_CPU
415.472,1296,1440,1536,1488,1,0,0
415.483,1296,1440,1536,1488,1,0,0
415.496,1296,1440,1536,1504,1,0,0
415.508,1296,1440,1536,1504,1,0,0
415.519,1296,1440,1536,1504,1,0,0
415.531,1296,1440,1536,1504,1,0,0
415.544,1296,1456,1536,1488,1,0,0
415.556,1296,1440,1536,1488,1,0,0
415.568,1296,1440,1536,1504,1,0,0
415.58,1296,1456,1536,1504,1,0,0
415.592,1280,1456,1536,1504,1,0,0
415.604,1280,1456,1536,1504,1,0,0
415.616,1296,1456,1536,1504,1,0,0
415.628,1296,1440,1536,1504,1,0,0
415.639,1296,1440,1536,1504,1,0,0
415.652,1280,1456,1552,1504,1,0,0
415.663,1280,1456,1552,1504,1,0,0
415.675,1280,1440,1536,1488,1,0,0
415.686,1280,1440,1536,1488,1,0,0
415.698,1280,1456,1520,1504,1,0,0
415.71,1280,1456,1520,1504,1,0,0
415.722,1296,1456,1536,1504,1,0,0
415.733,1296,1456,1536,1504,1,0,0
415.745,1296,1440,1536,1488,1,0,0
415.756,1296,1440,1536,1488,1,0,0
415.769,1280,1456,1520,1504,1,0,0
415.781,1280,1456,1536,1504,1,0,0
415.792,1296,1456,1536,1504,1,0,0
415.804,1280,1456,1520,1504,1,0,0
415.815,1280,1456,1520,1504,1,0,0
415.827,1296,1456,1536,1504,1,0,0
415.839,1296,1456,1536,1504,1,0,0
415.85,1296,1440,1536,1504,1,0,0
415.862,1296,1440,1536,1504,1,0,0
415.874,1296,1440,1536,1504,1,0,0
415.886,1296,1440,1536,1504,1,0,0
415.897,1296,1440,1536,1488,1,0,0
415.909,1296,1440,1536,1488,1,0,0
415.921,1296,1456,1536,1504,1,0,0
415.933,1296,1440,1536,1504,1,0,0
415.944,1296,1440,1536,1504,1,0,0
415.956,1296,1440,1536,1504,1,0,0
415.968,1296,1440,1536,1504,1,0,0
415.979,1296,1456,1520,1504,1,0,0
415.991,1296,1456,1520,1504,1,0,0
416.003,1296,1456,1520,1504,1,0,0
416.014,1296,1456,1520,1504,1,0,0
416.026,1296,1440,1536,1504,1,0,0
416.038,1296,1440,1536,1504,1,0,0
416.049,1296,1456,1536,1504,1,0,0
416.061,1296,1456,1536,1504,1,0,0
416.073,1296,1456,1536,1504,1,0,0
416.086,1296,1456,1536,1504,1,0,0
416.097,1296,1440,1536,1488,1,0,0
416.109,1296,1456,1536,1488,1,0,0
416.121,1280,1456,1536,1504,1,0,0
416.132,1280,1456,1536,1504,1,0,0
416.144,1296,1456,1536,1504,1,0,0
416.155,1296,1440,1536,1488,1,0,0
416.167,1296,1440,1536,1488,1,0,0
416.178,1296,1440,1536,1504,1,0,0
416.19,1296,1440,1536,1504,1,0,0
416.202,1296,1440,1536,1488,1,0,0
416.214,1296,1440,1536,1488,1,0,0
416.225,1280,1456,1520,1504,1,0,0
416.238,1280,1456,1520,1504,1,0,0
416.249,1296,1456,1536,1504,1,0,0
416.261,1296,1440,1536,1504,1,0,0
416.272,1296,1440,1536,1504,1,0,0
416.284,1296,1456,1536,1504,1,0,0
416.295,1280,1456,1536,1504,1,0,0
416.307,1280,1440,1536,1504,1,0,0
416.319,1296,1440,1536,1504,1,0,0
416.331,1296,1440,1536,1488,1,0,0
416.343,1296,1440,1536,1488,1,0,0
416.355,1296,1456,1536,1504,1,0,0
416.366,1280,1456,1536,1504,1,0,0
416.378,1296,1440,1536,1488,1,0,0
416.391,1296,1440,1536,1488,1,0,0
416.403,1296,1456,1536,1504,1,0,0
416.414,1296,1456,1536,1504,1,0,0
416.426,1296,1440,1536,1504,1,0,0
416.438,1296,1456,1536,1504,1,0,0
416.449,1296,1456,1536,1488,1,0,0
416.461,1296,1440,1536,1488,1,0,0
416.472,1296,1440,1536,1504,1,0,0
416.484,1296,1440,1536,1504,1,0,0
416.496,1296,1440,1536,1488,1,0,0
416.507,1296,1456,1520,1504,1,0,0
416.519,1280,1456,1520,1504,1,0,0
416.53,1280,1456,1536,1504,1,0,0
416.542,1296,1456,1536,1504,1,0,0
416.555,1296,1440,1536,1504,1,0,0
416.566,1296,1440,1536,1504,1,0,0
416.578,1296,1456,1536,1488,1,0,0
416.59,1296,1456,1536,1488,1,0,0
416.601,1296,1440,1536,1488,1,0,0
416.613,1296,1440,1536,1488,1,0,0
416.624,1296,1440,1536,1488,1,0,0
416.636,1296,1440,1536,1488,1,0,0
416.648,1296,1440,1536,1504,1,0,0
416.659,1296,1456,1536,1504,1,0,0
416.671,1296,1456,1536,1488,1,0,0
416.683,1296,1456,1536,1504,1,0,0
416.694,1280,1456,1536,1504,1,0,0
416.707,1280,1440,1536,1488,1,0,0
416.718,1296,1440,1536,1488,1,0,0
416.73,1296,1456,1536,1504,1,0,0
416.741,1280,1456,1536,1504,1,0,0
416.753,1280,1440,1536,1488,1,0,0
416.765,1280,1440,1536,1488,1,0,0
416.776,1296,1440,1536,1504,1,0,0
416.788,1296,1440,1536,1504,1,0,0
416.8,1296,1456,1536,1504,1,0,0
416.811,1296,1456,1536,1504,1,0,0
416.823,1296,1456,1536,1504,1,0,0
416.835,1296,1440,1536,1504,1,0,0
416.847,1296,1440,1536,1488,1,0,0
416.859,1296,1456,1536,1488,1,0,0
416.871,1280,1456,1520,1504,1,0,0
416.882,1280,1440,1536,1488,1,0,0
416.894,1280,1440,1536,1488,1,0,0
416.906,1280,1440,1536,1488,1,0,0
416.917,1296,1440,1536,1488,1,0,0
416.929,1296,1440,1536,1488,1,0,0
416.941,1296,1440,1536,1488,1,0,0
416.952,1296,1440,1536,1488,1,0,0
416.964,1296,1440,1536,1488,1,0,0
416.975,1296,1440,1536,1488,1,0,0
416.987,1296,1440,1536,1488,1,0,0
416.999,1280,1440,1536,1504,1,0,0
417.01,1280,1456,1536,1504,1,0,0
417.023,1296,1456,1536,1504,1,0,0
417.034,1296,1456,1536,1504,1,0,0
417.046,1280,1456,1536,1504,1,0,0
417.058,1280,1440,1536,1504,1,0,0
417.069,1296,1440,1536,1504,1,0,0
417.081,1296,1440,1536,1504,1,0,0
417.093,1296,1440,1536,1488,1,0,0
417.105,1296,1456,1536,1504,1,0,0
417.116,1280,1456,1536,1504,1,0,0
417.128,1296,1440,1536,1488,1,0,0
417.14,1296,1440,1536,1488,1,0,0
417.151,1280,1456,1536,1504,1,0,0
417.163,1280,1456,1536,1504,1,0,0
417.174,1280,1456,1536,1504,1,0,0
417.186,1280,1456,1536,1504,1,0,0
417.198,1296,1456,1536,1488,1,0,0
417.21,1296,1472,1536,1488,1,0,0
417.222,1296,1472,1536,1488,1,0,0
417.233,1296,1456,1520,1504,1,0,0
417.245,1280,1456,1520,1504,1,0,0
417.257,1280,1440,1536,1488,1,0,0
417.269,1296,1440,1536,1488,1,0,0
417.281,1296,1440,1536,1504,1,0,0
417.292,1296,1440,1536,1504,1,0,0
417.304,1280,1456,1536,1504,1,0,0
417.316,1280,1456,1536,1504,1,0,0
417.328,1280,1456,1536,1504,1,0,0
417.34,1280,1456,1536,1504,1,0,0
417.351,1296,1456,1536,1504,1,0,0
417.363,1296,1456,1536,1504,1,0,0
417.375,1296,1440,1536,1488,1,0,0
417.386,1296,1456,1536,1488,1,0,0
417.398,1280,1456,1536,1504,1,0,0
417.409,1280,1440,1536,1504,1,0,0
417.421,1280,1440,1536,1504,1,0,0
417.433,1280,1440,1536,1488,1,0,0
417.444,1296,1440,1536,1488,1,0,0
417.456,1296,1440,1536,1488,1,0,0
417.467,1296,1440,1536,1488,1,0,0
417.491,1280,1456,1536,1504,1,0,0
417.503,1296,1440,1536,1488,1,0,0
417.515,1296,1440,1536,1488,1,0,0
417.527,1296,1440,1536,1488,1,0,0
417.538,1296,1440,1536,1488,1,0,0
417.55,1296,1440,1536,1504,1,0,0
417.562,1296,1456,1536,1504,1,0,0
417.573,1296,1456,1536,1504,1,0,0
417.585,1296,1440,1536,1504,1,0,0
417.597,1296,1440,1536,1488,1,0,0
417.608,1296,1456,1536,1488,1,0,0
417.62,1296,1456,1536,1504,1,0,0
417.632,1296,1440,1536,1488,1,0,0
417.643,1296,1440,1536,1488,1,0,0
417.655,1296,1440,1536,1504,1,0,0
417.667,1296,1440,1536,1504,1,0,0
417.679,1296,1456,1536,1504,1,0,0
417.69,1296,1456,1536,1504,1,0,0
417.702,1280,1456,1520,1504,1,0,0
417.714,1280,1456,1520,1504,1,0,0
417.725,1296,1440,1536,1488,1,0,0
417.737,1296,1456,1536,1488,1,0,0
417.749,1296,1456,1520,1504,1,0,0
417.761,1296,1440,1520,1504,1,0,0
417.772,1296,1440,1536,1488,1,0,0
417.784,1296,1440,1536,1488,1,0,0
417.796,1296,1440,1536,1488,1,0,0
417.808,1296,1440,1536,1488,1,0,0
417.819,1296,1440,1536,1488,1,0,0
417.832,1296,1440,1520,1504,1,0,0
417.843,1280,1440,1520,1504,1,0,0
417.855,1280,1456,1536,1488,1,0,0
417.867,1280,1440,1536,1488,1,0,0
417.878,1296,1440,1536,1504,1,0,0
417.89,1296,1456,1536,1504,1,0,0
417.902,1296,1456,1536,1488,1,0,0
417.913,1296,1456,1536,1488,1,0,0
417.925,1280,1456,1536,1504,1,0,0
417.936,1280,1440,1536,1504,1,0,0
417.948,1296,1440,1536,1488,1,0,0
417.96,1296,1456,1536,1488,1,0,0
417.972,1296,1456,1536,1504,1,0,0
417.984,1296,1440,1536,1504,1,0,0
417.996,1296,1440,1536,1488,1,0,0
418.007,1296,1456,1520,1504,1,0,0
418.019,1280,1456,1520,1504,1,0,0
418.031,1296,1456,1536,1504,1,0,0
418.042,1296,1456,1536,1504,1,0,0
418.054,1280,1456,1520,1504,1,0,0
418.067,1280,1440,1520,1504,1,0,0
418.079,1296,1440,1536,1488,1,0,0
418.09,1296,1440,1536,1488,1,0,0
418.102,1296,1440,1536,1504,1,0,0
418.114,1296,1440,1536,1488,1,0,0
418.125,1296,1440,1536,1488,1,0,0
418.137,1296,1456,1536,1504,1,0,0
418.149,1280,1456,1536,1504,1,0,0
418.161,1280,1456,1520,1504,1,0,0
418.172,1280,1456,1520,1504,1,0,0
418.184,1296,1440,1536,1504,1,0,0
418.195,1296,1440,1536,1504,1,0,0
418.207,1296,1440,1536,1488,1,0,0
418.218,1296,1440,1536,1488,1,0,0
418.23,1280,1456,1520,1504,1,0,0
418.242,1280,1440,1520,1504,1,0,0
418.253,1296,1440,1536,1504,1,0,0
418.265,1296,1456,1536,1504,1,0,0
418.276,1280,1456,1520,1504,1,0,0
418.288,1280,1440,1520,1504,1,0,0
418.301,1296,1440,1536,1488,1,0,0
418.312,1296,1456,1536,1488,1,0,0
